Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
12298;Villecomtal;101;80.9;86.1;6.2;12.4;6.8;5;2.1;52.1;24.3;6
12299;Villefranche-de-Panat;237;78.6;93.1;7.8;9.2;6.2;2.8;3;46.4;34.7;9
12300;Villefranche-de-Rouergue;3836;72.3;78;6.9;8.3;7.2;5.4;6.6;43;32.8;126
12301;Villeneuve;643;82;86;6.1;12.5;9.8;7.6;1.3;45.5;32.5;30
12303;Vimenet;72;91.2;97.4;4.8;14.8;11;4.8;2.4;51;28.7;3
12305;Viviez;398;72.2;74.4;6.8;7;3.8;3.1;14;45.4;32.4;18
12307;Curan;84;93.9;98.1;6.6;8.1;5.1;1.5;4.6;52;28.6;1
13001;Aix-en-Provence;28058;76.3;81;4.6;11.6;13.9;25.9;13.8;49;19.1;3716
13002;Allauch;5006;83.7;88.3;5.3;14.7;12.4;13.3;5.1;50.4;23.2;371
13003;Alleins;485;82.4;91.6;3.8;16.9;13.5;12.1;9.6;53.2;18;49
13004;Arles;12238;64.8;78.1;5.1;10.3;9.1;8;21.2;49.4;24;907
13005;Aubagne;10315;73.3;83;6.1;11.9;8.7;9.4;25.2;49.1;21.9;872
